,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bluff,-46.6,168.33,39.0,83,3,3.0,NZ,1592485233
1,Belaya Kholunitsa,58.84,50.85,65.62,38,0,6.64,RU,1592485255
2,Kapaa,22.08,-159.32,77.0,83,20,17.22,US,1592485202
3,Vestmannaeyjar,63.44,-20.27,51.8,71,40,23.04,IS,1592485259
4,Vaini,-21.2,-175.2,68.0,94,75,8.05,TO,1592485156
5,Kaitangata,-46.28,169.85,39.18,80,9,5.32,NZ,1592485264
6,Haines Junction,60.75,-137.51,48.4,76,100,1.63,CA,1592485217
7,Poum,-20.23,164.02,74.5,79,100,16.98,NC,1592485268
8,Severo-Kuril'sk,50.68,156.12,41.58,88,48,5.28,RU,1592485270
9,Castro,-24.79,-50.01,64.44,72,88,11.92,BR,1592485213
10,Hilo,19.73,-155.09,73.4,88,90,4.7,US,1592485195
11,Dikson,73.51,80.55,32.5,95,0,12.24,RU,1592485225
12,Weyburn,49.67,-103.85,48.0,88,100,15.01,CA,1592485278
13,Puerto Ayora,-0.74,-90.35,71.01,91,85,5.99,EC,1592485280
14,Alamosa,37.47,-105.87,39.2,51,1,4.7,US,1592485282
15,Zinder,13.81,8.99,96.8,30,0,9.17,NE,1592485284
16,Mataura,-46.19,168.86,39.0,83,0,3.0,NZ,1592485286
17,Lappeenranta,61.06,28.19,73.0,83,63,3.36,FI,1592485213
18,Hermanus,-34.42,19.23,75.0,37,0,1.01,ZA,1592485291
19,Vila do Maio,15.13,-23.22,87.8,48,0,23.04,CV,1592485293
20,Bredasdorp,-34.53,20.04,77.0,27,0,6.29,ZA,1592485295
21,Cape Town,-33.93,18.42,78.01,29,0,10.29,ZA,1592485023
22,Khatanga,71.97,102.5,57.99,45,100,6.11,RU,1592485299
23,Labuhan,-6.88,112.21,81.34,80,0,8.3,ID,1592485301
24,Ushuaia,-54.8,-68.3,30.2,86,1,5.32,AR,1592484952
25,Usinsk,65.99,57.53,46.78,55,83,12.82,RU,1592485305
26,Thompson,55.74,-97.86,37.4,93,90,16.11,CA,1592485168
27,Saint Paul Harbor,57.79,-152.41,48.2,87,90,12.75,US,1592485212
28,Rikitea,-23.12,-134.97,76.06,83,100,21.97,PF,1592485172
29,Timrat,32.7,35.23,80.6,61,40,10.29,IL,1592485314
30,Caserta,41.08,14.33,80.01,50,20,11.41,IT,1592485316
31,Laas,46.62,10.7,62.6,42,40,10.29,IT,1592485318
32,Raudeberg,61.99,5.14,71.6,87,40,9.17,NO,1592485320
33,Atuona,-9.8,-139.03,79.61,76,50,10.74,PF,1592485189
34,Palmer,42.16,-72.33,70.0,88,90,4.7,US,1592485324
35,Smithers,54.78,-127.17,51.8,87,90,2.24,CA,1592485148
36,Sitka,57.05,-135.33,51.8,87,90,3.36,US,1592485328
37,Qasigiannguit,68.82,-51.19,37.4,74,75,6.93,GL,1592485330
38,Ponta do Sol,32.67,-17.1,73.4,69,20,18.34,PT,1592485332
39,Norman Wells,65.28,-126.83,66.2,59,75,12.75,CA,1592485334
40,Albany,42.6,-73.97,66.0,74,4,1.74,US,1592485149
41,Ostrovnoy,68.05,39.51,68.36,44,82,13.35,RU,1592485339
42,Busselton,-33.65,115.33,48.0,98,4,7.81,AU,1592485282
43,Domoni,-12.26,44.53,76.35,72,100,13.89,KM,1592485343
44,Mubi,10.27,13.26,89.46,44,78,6.24,NG,1592485345
45,Boguchany,58.38,97.45,67.44,49,52,7.07,RU,1592485347
46,Hong Kong,22.29,114.16,86.0,70,6,5.01,HK,1592485349
47,Mossamedes,-15.2,12.15,80.6,57,0,9.17,AO,1592485351
48,Moberly,39.42,-92.44,69.01,80,1,4.0,US,1592485283
49,Zyryanka,65.75,150.85,72.27,38,27,13.18,RU,1592485355
50,George Town,5.41,100.34,84.2,83,20,4.7,MY,1592485357
51,Tabou,4.42,-7.35,81.28,75,100,11.25,CI,1592485359
52,Beringovskiy,63.05,179.32,45.66,64,22,2.06,RU,1592485362
53,Petropavlovsk-Kamchatskiy,53.05,158.65,42.8,100,90,4.47,RU,1592485364
54,East London,-33.02,27.91,69.8,52,0,10.29,ZA,1592484974
55,Ahipara,-35.17,173.17,51.93,84,7,5.5,NZ,1592485368
56,Tezu,27.92,96.17,77.5,88,100,1.61,IN,1592485370
57,Hervey Bay,-25.3,152.85,66.0,85,18,5.99,AU,1592485372
58,Taicheng,38.73,113.23,60.89,78,0,5.32,CN,1592485374
59,Yellowknife,62.46,-114.35,55.0,76,20,12.75,CA,1592485376
60,Chokurdakh,70.63,147.92,76.78,37,4,6.78,RU,1592485378
61,Wollongong,-34.43,150.88,50.0,81,12,1.01,AU,1592485237
62,Punta Arenas,-53.15,-70.92,33.8,88,90,12.75,CL,1592485200
63,Yulara,-25.24,130.99,53.6,34,0,8.05,AU,1592485385
64,Tiksi,71.69,128.87,55.89,60,97,5.53,RU,1592485387
65,The Valley,18.22,-63.06,84.99,74,75,16.11,AI,1592485191
66,Pandan,14.05,124.17,82.29,82,65,10.47,PH,1592485391
67,Port Alfred,-33.59,26.89,64.99,72,0,3.0,ZA,1592485367
68,Neryungri,56.67,124.65,55.54,74,96,4.05,RU,1592485395
69,Port Blair,11.67,92.75,83.86,81,96,12.3,IN,1592485397
70,Vyartsilya,62.18,30.69,70.14,72,100,8.32,RU,1592485399
71,Sekoma,-24.4,23.88,67.66,26,0,7.65,BW,1592485401
72,Avarua,-21.21,-159.78,69.8,83,7,8.05,CK,1592485328
73,Qaanaaq,77.48,-69.36,33.85,89,0,1.77,GL,1592485406
74,Pevek,69.7,170.31,37.99,78,0,11.9,RU,1592485408
75,São Félix do Xingu,-6.64,-51.99,81.05,61,99,5.77,BR,1592485410
76,Sémbé,1.65,14.58,85.08,62,47,2.21,CG,1592485412
77,Esperance,-33.87,121.9,50.0,87,75,20.8,AU,1592485242
78,Ust-Kuyga,70.02,135.6,68.05,55,77,6.29,RU,1592485416
79,Urubamba,-13.3,-72.12,53.65,63,53,3.2,PE,1592485253
80,Tsabong,-26.02,22.4,68.79,27,0,8.55,BW,1592485420
81,Oyón,-10.67,-76.77,50.4,49,0,2.84,PE,1592485422
82,Hasaki,35.73,140.83,69.8,100,90,1.12,JP,1592485309
83,Moussoro,13.64,16.49,101.08,22,0,2.44,TD,1592485427
84,Jamestown,42.1,-79.24,69.01,72,1,3.36,US,1592485429
85,Tuktoyaktuk,69.45,-133.04,37.4,93,100,9.66,CA,1592485431
86,Kumul,42.8,93.45,93.45,12,0,14.05,CN,1592485433
87,Polson,47.69,-114.16,52.0,65,100,2.84,US,1592485435
88,Krasne,49.91,24.61,77.0,57,40,13.42,UA,1592485437
89,Šibenik,43.73,15.91,77.0,47,20,14.99,HR,1592485439
90,Berdigestyakh,62.1,126.7,62.58,57,0,5.5,RU,1592485441
91,Chenghai,23.46,116.77,84.2,79,22,6.71,CN,1592485443
92,Lensk,60.73,114.93,54.14,79,5,3.04,RU,1592485445
93,Gizo Government Station,-8.1,156.84,82.51,78,3,7.47,SB,1592485447
94,Port Elizabeth,-33.92,25.57,73.4,35,0,10.29,ZA,1592485252
95,Pierre,44.37,-100.35,60.01,87,75,12.75,US,1592485410
96,Longyearbyen,78.22,15.64,44.6,70,75,5.82,SJ,1592485268
97,Barrow,71.29,-156.79,35.6,79,1,8.05,US,1592485174
98,Bethel,41.37,-73.41,66.99,93,90,0.89,US,1592485458
99,Zelenoborskiy,66.84,32.36,68.14,40,37,9.44,RU,1592485460
100,Taoudenni,22.68,-3.98,113.79,7,0,15.59,ML,1592485462
101,Tuatapere,-46.13,167.68,39.0,83,4,3.0,NZ,1592485464
102,Carnarvon,-24.87,113.63,64.4,88,0,13.87,AU,1592485466
103,Jieshi,22.81,115.83,83.35,85,3,8.43,CN,1592485469
104,Namatanai,-3.67,152.43,80.24,83,19,6.26,PG,1592485147
105,Villazón,-22.09,-65.59,44.02,44,0,2.51,BO,1592485473
106,Lorengau,-2.02,147.27,82.47,79,7,8.95,PG,1592485475
107,Saint George,37.1,-113.58,66.2,15,1,16.11,US,1592485206
108,San Cristobal,7.77,-72.22,75.2,94,75,2.24,VE,1592485479
109,Trivandrum,8.48,76.92,87.8,70,20,9.17,IN,1592485481
110,Sesheke,-17.48,24.3,66.2,25,0,12.75,ZM,1592485483
111,Broome,42.25,-75.83,68.0,12,0,4.0,US,1592485485
112,Suntar,62.14,117.63,53.62,95,86,3.13,RU,1592485487
113,Perevolotskiy,51.88,54.19,73.17,63,52,12.1,RU,1592485489
114,Codrington,-38.27,141.97,48.38,91,100,10.85,AU,1592485492
115,Jacqueville,5.21,-4.41,82.4,78,40,12.75,CI,1592485494
116,Isangel,-19.55,169.27,69.8,94,0,10.92,VU,1592485496
117,Cansanção,-10.67,-39.5,75.49,71,82,8.95,BR,1592485498
118,Pangnirtung,66.15,-65.71,37.4,86,75,6.93,CA,1592485500
119,Pizarro,4.95,-77.37,77.23,90,100,4.88,CO,1592485502
120,Vao,-22.67,167.48,72.01,76,92,16.46,NC,1592485504
121,Arraial do Cabo,-22.97,-42.03,73.4,69,20,10.29,BR,1592485443
122,Chui,-33.7,-53.46,64.08,89,93,13.09,UY,1592485508
123,Villamontes,-21.25,-63.5,68.0,94,0,8.48,BO,1592485510
124,San Patricio,19.22,-104.7,77.0,94,75,2.28,MX,1592485512
125,Hithadhoo,-0.6,73.08,84.78,77,95,11.01,MV,1592485215
126,Lavrentiya,65.58,-171.0,47.68,71,0,1.3,RU,1592485517
127,Nahavand,34.19,48.38,92.77,10,0,10.85,IR,1592485519
128,Saint Anthony,45.02,-93.22,73.0,56,75,6.93,US,1592485161
129,Ribeira Grande,38.52,-28.7,68.0,68,75,14.99,PT,1592485523
130,Vung Tau,10.35,107.08,84.56,79,100,6.11,VN,1592485449
131,Torbay,47.67,-52.73,64.99,72,90,18.34,CA,1592485527
132,Philadelphia,39.95,-75.16,64.99,93,90,8.05,US,1592485352
133,Banjar,-8.19,114.97,82.4,88,40,19.46,ID,1592485531
134,Cidreira,-30.18,-50.21,67.21,76,100,8.68,BR,1592485533
135,Poso,-1.4,120.75,78.49,77,95,3.71,ID,1592485535
136,Saint-Philippe,-21.36,55.77,73.4,64,75,24.16,RE,1592485538
137,Elizabeth City,36.29,-76.25,73.99,83,1,4.7,US,1592485540
138,Notre-Dame-du-Lac,47.61,-68.8,77.0,49,1,4.7,CA,1592485542
139,Port Lincoln,-34.73,135.87,59.61,52,69,19.06,AU,1592485544
